Index,Asana Name,Type,Disease 1,Disease 2,Disease 3,Disease 4,Disease 5,Should Not Perform Reason 1,Should Not Perform Reason 2,Should Not Perform 3,Should Not Perform 4,Should Not Perform 5
0,Virabhadrasana I,Asana,Anxiety,Depression,Sciatica,Stress,null,Knee Injury,Pregnancy,null,null,null
1,Virabhadrasana II,Asana,Digestive Issues,Anxiety,Fatigue,Stress,null,Neck Injury,null,null,null,null
2,Virabhadrasana III,Asana,Poor Posture,Anxiety,Stress,Fatigue,null,Ankle Injury,null,null,null,null
3,Trikonasana,Asana,Digestive Issues,Urinary Issues,Sciatica,Endocrine Problems (Diabetes/Infertility/Thyroid),Neck Injury,Urinary Tract Infection,Excessive Growth of Thyroid Gland,null,null
4,Ardha Chandrasana,Asana,Insomnia,Anxiety,Stress,Fatigue,null,Low Blood Pressure,null,null,null,null
5,Ustrasana,Asana,Asthma,Digestive Issues,Urinary Issues,Depression,High Blood Pressure,Hernia,null,null,null,null
6,Matsyasana,Asana,Fatigue,Anxiety,Insomnia,Stress,null,Neck Injury,Back Pain,null,null,null
7,Marjariasana,Asana,Digestive Issues,Anxiety,Stress,Fatigue,null,Wrist Injury,null,null,null,null
8,Bitilasana,Asana,Back Pain,Digestive Issues,Anxiety,Stress,null,Shoulder Injury,null,null,null,null
9,Garudasana,Asana,Sciatica,Anxiety,Stress,Fatigue,null,Knee or Ankle Injury,null,null,null,null
10,Anjaneyasana,Asana,Anxiety,Sciatica,Depression,Stress,null,Hip Injury,null,null,null,null
11,Vrikshasana,Asana,Poor Posture,Anxiety,Stress,Fatigue,null,Foot or Ankle Injury,null,null,null,null
12,Padangusthasana,Asana,Anxiety,Digestive Issues,Sciatica,Stress,null,Hamstring Injury,null,null,null,null
13,Bakasana,Asana,Digestive Issues,Anxiety,Stress,Depression,null,Wrist Injury,Pregnancy,null,null,null
